REGRGP_NOM;REG_NOM;REG_NOM_OLD;ACA_NOM;DEP_NOM;COM_CODE;COM_CODE1;COM_CODE2;COM_ID;COM_NOM_MAJ_COURT;COM_NOM_MAJ;COM_NOM;UU_CODE;UU_ID;UUCR_ID;UUCR_NOM;UU_WIKIDATA;UU_PAYSAGE;ZE_ID;DEP_CODE;DEP_ID;DEP_NOM_NUM;DEP_NUM_NOM;DEP_WIKIDATA;DEP_PAYSAGE;NUTS_CODE_3;ACA_CODE;ACA_ID;ACA_WIKIDATA;ACA_PAYSAGE;REG_CODE;REG_ID;REG_WIKIDATA;NUTS_CODE_1;REG_PAYSAGE;REG_CODE_OLD;REG_ID_OLD;FD_ID;FR_ID;FE_ID;UU_ID_10;UU_ID_99;AU_CODE;AU_ID;AUC_ID;AUC_NOM;EPCI_ID;EPCI_NOM;ATLAS_ID;ATLAS_NOM;ATLAS_WIKIDATA;ATLAS_PAYSAGE;geolocalisation;COM_NOM_DEBUT;COM_NOM_FIN;COM_NOM_ANCIENS;COM_NOM_ANCIENS_DATES;COM_CODE_ACTUEL;COM_CODE_ACTUEL_DEPUIS
Province;Auvergne-Rhône-Alpes;Rhône-Alpes;Grenoble;Isère;38236;38236;38236;C38236;MIRIBEL LES ECHELLES;MIRIBEL LES ECHELLES;Miribel-les-Échelles;;SO;CR38236;Miribel-les-Échelles;;;ZE8435;38;D038;Isère (38);38 - Isère;Q12559;ava3a;FRK24;08;A08;;9hvg0;84;R84;Q18338206;FRK;ey88q;82;R82;FD111;FR11;FE1;SO;SO;010;AU010;AU010;Grenoble;200040111;CC Cœur de Chartreuse;CR38236;Miribel-les-Échelles;;;45.437462147, 5.707950912;;;;;;
Province;Auvergne-Rhône-Alpes;Rhône-Alpes;Grenoble;Isère;38271;38271;38271;C38271;MURIANETTE;MURIANETTE;Murianette;38701;UU38701;UU38701;Grenoble;Q3551026;dbfsp;ZE8409;38;D038;Isère (38);38 - Isère;Q12559;ava3a;FRK24;08;A08;;9hvg0;84;R84;Q18338206;FRK;ey88q;82;R82;FD111;FR11;FE1;UU38701;UU38701;010;AU010;AU010;Grenoble;200040715;Grenoble-Alpes-Métropole;UU38701;Grenoble;Q3551026;dbfsp;45.188050199, 5.826398538;;;;;;
Province;Auvergne-Rhône-Alpes;Rhône-Alpes;Grenoble;Isère;38344;38344;38344;C38344;ROUSSILLON;ROUSSILLON;Roussillon;00559;UU00559;UU00559;Vienne;;hf344;ZE8433;38;D038;Isère (38);38 - Isère;Q12559;ava3a;FRK24;08;A08;;9hvg0;84;R84;Q18338206;FRK;ey88q;82;R82;FD111;FR11;FE1;UU00556;UU00457;076;AU076;AU076;Vienne;200085751;CC Entre Bièvre et Rhône;UU00559;Vienne;;hf344;45.378680545, 4.818412828;;;;;;
Province;Auvergne-Rhône-Alpes;Rhône-Alpes;Grenoble;Isère;38353;38353;38353;C38353;ST ALBAN DU RHONE;SAINT ALBAN DU RHONE;Saint-Alban-du-Rhône;00559;UU00559;UU00559;Vienne;;hf344;ZE8433;38;D038;Isère (38);38 - Isère;Q12559;ava3a;FRK24;08;A08;;9hvg0;84;R84;Q18338206;FRK;ey88q;82;R82;FD111;FR11;FE1;UU00556;UU00457;076;AU076;AU076;Vienne;200085751;CC Entre Bièvre et Rhône;UU00559;Vienne;;hf344;45.418287615, 4.755000713;;;;;;
Province;Auvergne-Rhône-Alpes;Rhône-Alpes;Grenoble;Isère;38354;38354;38354;C38354;ST ALBIN DE VAULSERRE;SAINT ALBIN DE VAULSERRE;Saint-Albin-de-Vaulserre;;SO;CR38354;Saint-Albin-de-Vaulserre;;;ZE8406;38;D038;Isère (38);38 - Isère;Q12559;ava3a;FRK24;08;A08;;9hvg0;84;R84;Q18338206;FRK;ey88q;82;R82;FD111;FR11;FE1;UU00360;SO;;AU997;C38354;Saint-Albin-de-Vaulserre;200068567;CC Les Vals du Dauphiné;CR38354;Saint-Albin-de-Vaulserre;;;45.501424349, 5.697972176;;;;;;
Province;Auvergne-Rhône-Alpes;Rhône-Alpes;Grenoble;Isère;38374;38374;38374;C38374;ST CHEF;SAINT CHEF;Saint-Chef;;SO;CR38374;Saint-Chef;;;ZE8406;38;D038;Isère (38);38 - Isère;Q12559;ava3a;FRK24;08;A08;;9hvg0;84;R84;Q18338206;FRK;ey88q;82;R82;FD111;FR11;FE1;SO;SO;002;AU002;AU002;Lyon;200068542;CC Les Balcons du Dauphiné;CR38374;Saint-Chef;;;45.640933714, 5.361810092;;;;;;
Province;Auvergne-Rhône-Alpes;Rhône-Alpes;Grenoble;Isère;38376;38376;38376;C38376;ST CHRISTOPHE SUR GUIERS;SAINT CHRISTOPHE SUR GUIERS;Saint-Christophe-sur-Guiers;;SO;CR38376;Saint-Christophe-sur-Guiers;;;ZE8435;38;D038;Isère (38);38 - Isère;Q12559;ava3a;FRK24;08;A08;;9hvg0;84;R84;Q18338206;FRK;ey88q;82;R82;FD111;FR11;FE1;SO;SO;010;AU010;AU010;Grenoble;200040111;CC Cœur de Chartreuse;CR38376;Saint-Christophe-sur-Guiers;;;45.409699815, 5.792809986;;;;;;
Province;Auvergne-Rhône-Alpes;Rhône-Alpes;Grenoble;Isère;38381;38381;38381;C38381;ST DIDIER DE LA TOUR;SAINT DIDIER DE LA TOUR;Saint-Didier-de-la-Tour;38405;UU38405;UU38405;La Tour-du-Pin;;;ZE8406;38;D038;Isère (38);38 - Isère;Q12559;ava3a;FRK24;08;A08;;9hvg0;84;R84;Q18338206;FRK;ey88q;82;R82;FD111;FR11;FE1;UU38304;UU38306;002;AU002;AU002;Lyon;200068567;CC Les Vals du Dauphiné;UU38405;La Tour-du-Pin;;;45.548057781, 5.487833111;;;;;;
Province;Auvergne-Rhône-Alpes;Rhône-Alpes;Grenoble;Isère;38529;38529;38529;C38529;VAULNAVEYS LE HAUT;VAULNAVEYS LE HAUT;Vaulnaveys-le-Haut;38401;UU38401;UU38401;Vizille;;;ZE8409;38;D038;Isère (38);38 - Isère;Q12559;ava3a;FRK24;08;A08;;9hvg0;84;R84;Q18338206;FRK;ey88q;82;R82;FD111;FR11;FE1;UU38303;UU38307;010;AU010;AU010;Grenoble;200040715;Grenoble-Alpes-Métropole;UU38401;Vizille;;;45.115259703, 5.840718161;;;;;;
Province;Auvergne-Rhône-Alpes;Rhône-Alpes;Grenoble;Isère;38539;38539;38539;C38539;VERTRIEU;VERTRIEU;Vertrieu;;SO;CR38539;Vertrieu;;;ZE8405;38;D038;Isère (38);38 - Isère;Q12559;ava3a;FRK24;08;A08;;9hvg0;84;R84;Q18338206;FRK;ey88q;82;R82;FD111;FR11;FE1;SO;SO;002;AU002;AU002;Lyon;200068542;CC Les Balcons du Dauphiné;CR38539;Vertrieu;;;45.870773365, 5.364708956;;;;;;
Province;Auvergne-Rhône-Alpes;Rhône-Alpes;Grenoble;Isère;38086;38086;38086;C38086;CHASSELAY;CHASSELAY;Chasselay;;SO;CR38086;Chasselay;;;ZE8435;38;D038;Isère (38);38 - Isère;Q12559;ava3a;FRK24;08;A08;;9hvg0;84;R84;Q18338206;FRK;ey88q;82;R82;FD111;FR11;FE1;SO;SO;;AU998;C38086;Chasselay;200070431;CC Saint-Marcellin Vercors Isère Communauté;CR38086;Chasselay;;;45.261435349, 5.340878659;;;;;;
Province;Auvergne-Rhône-Alpes;Rhône-Alpes;Grenoble;Isère;38228;38228;38228;C38228;MERLAS;MERLAS;Merlas;;SO;CR38228;Merlas;;;ZE8435;38;D038;Isère (38);38 - Isère;Q12559;ava3a;FRK24;08;A08;;9hvg0;84;R84;Q18338206;FRK;ey88q;82;R82;FD111;FR11;FE1;SO;SO;010;AU010;AU010;Grenoble;243800984;CA du Pays Voironnais;CR38228;Merlas;;;45.439679323, 5.658865464;;;;;;
Province;Auvergne-Rhône-Alpes;Rhône-Alpes;Grenoble;Isère;38294;38294;38294;C38294;PANOSSAS;PANOSSAS;Panossas;;SO;CR38294;Panossas;;;ZE8421;38;D038;Isère (38);38 - Isère;Q12559;ava3a;FRK24;08;A08;;9hvg0;84;R84;Q18338206;FRK;ey88q;82;R82;FD111;FR11;FE1;SO;SO;002;AU002;AU002;Lyon;200068542;CC Les Balcons du Dauphiné;CR38294;Panossas;;;45.676183375, 5.193538506;;;;;;
Province;Auvergne-Rhône-Alpes;Rhône-Alpes;Grenoble;Isère;38391;38391;38391;C38391;ST GUILLAUME;SAINT GUILLAUME;Saint-Guillaume;;SO;CR38391;Saint-Guillaume;;;ZE8409;38;D038;Isère (38);38 - Isère;Q12559;ava3a;FRK24;08;A08;;9hvg0;84;R84;Q18338206;FRK;ey88q;82;R82;FD111;FR11;FE1;SO;SO;010;AU010;AU010;Grenoble;200030658;CC du Trièves;CR38391;Saint-Guillaume;;;44.945012261, 5.591204063;;;;;;
